"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"231","#Indigenous women are 2.5 times more likely to be raped or sexually assaulted than women in the #USA: http://t.co/hXGFl0VTaw",FALSE,64,NA,2014-12-19 05:39:29,FALSE,NA,"545815664561491968",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",177,FALSE,FALSE,NA,NA
"232","From our 1st letter, to the messages we leave behind, our words ALWAYS have the power to change lives. http://t.co/A5giVEzn8n #Write4Rights",FALSE,39,NA,2014-12-18 22:02:59,FALSE,NA,"545700779462754304",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",61,FALSE,FALSE,NA,NA
"233","#RacialProfiling in the #US criminalizes entire communities on the basis of a single identity. http://t.co/9TcLFB4GUx http://t.co/DfXkn0WvVU",FALSE,143,NA,2014-12-18 19:56:47,FALSE,NA,"545669023351181312",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",270,FALSE,FALSE,NA,NA
"234","@APSk8_Anne Thanks so much for your support!",FALSE,0,"APSk8_Anne",2014-12-18 19:14:15,FALSE,"545447997262155776","545658319072161792","2793073687","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"235","#HumanRights of migrants are being trampled across the globe. http://t.co/RnwIBgbiQH #InternationalMigrantsDay http://t.co/eaxVNammpu",FALSE,54,NA,2014-12-18 15:46:21,FALSE,NA,"545605998892036096",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",168,FALSE,FALSE,NA,NA
"236","Cigarette burns, waterboarding &amp; electric shocks. #StopTorture in the #Philippines. http://t.co/Ex4MzB8V4Q",FALSE,77,NA,2014-12-18 13:16:20,FALSE,NA,"545568243608719361",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",186,FALSE,FALSE,NA,NA
"237","Throwing stones from a glass house: View of US #torture &amp; human rights violations from #Iran. http://t.co/aPAtGiph2h http://t.co/uY4az3f0Xg",FALSE,94,NA,2014-12-18 09:15:13,FALSE,NA,"545507567510626306",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",154,FALSE,FALSE,NA,NA
"238","Letters don't just record history. They change it. http://t.co/A5giVEzn8n #Write4Rights",FALSE,55,NA,2014-12-18 04:08:44,FALSE,NA,"545430435262894081",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",82,FALSE,FALSE,NA,NA
"239","#Nigeria: Tortured, beaten &amp; sentenced to death. Demand authorities drop Moses' sentence! http://t.co/15unvd0MAI #Write4Rights",FALSE,32,NA,2014-12-18 02:36:18,FALSE,NA,"545407176454717441",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",81,FALSE,FALSE,NA,NA
"240","@sparCKL Thanks so much for your support, Curtis 太空人 Chen!!",FALSE,0,"sparCKL",2014-12-17 23:57:04,FALSE,"545310018640572416","545367102853775361","799897","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"241","@catenaconnects Thanks so much for your support, Bonnie!",FALSE,1,"catenaconnects",2014-12-17 23:56:17,FALSE,"545062108363112448","545366906702954496","16350111","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",1,FALSE,FALSE,NA,NA
"242","""Speaking out about injustices is worth the risk."" -Chelsea Manning #Write4Rights http://t.co/1oR2syd1gK http://t.co/VIjI4ytKss",FALSE,164,NA,2014-12-17 21:05:17,FALSE,NA,"545323872326021121",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",266,FALSE,FALSE,NA,NA
"243","USA-#Cuba prisoner swap must spur historic #HumanRights change. #CubanFive http://t.co/cjkMajxFos http://t.co/TOGzd6buvb",FALSE,45,NA,2014-12-17 18:36:14,FALSE,NA,"545286361616752640",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",108,FALSE,FALSE,NA,NA
"244","Today is Chelsea Manning’s birthday. Let it be her last behind bars http://t.co/RFhw6l6XmZ #Write4Rights #FreeChelsea http://t.co/VxoE9CHBZt",FALSE,108,NA,2014-12-17 15:32:03,FALSE,NA,"545240009536974848",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",233,FALSE,FALSE,NA,NA
"245","#India: Authorities must release Irom Sharmila following decision to decriminalize suicide. http://t.co/9cxSpNCbOu http://t.co/oolxnOutt8",FALSE,45,NA,2014-12-17 01:50:34,FALSE,NA,"545033278005448705",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",76,FALSE,FALSE,NA,NA
